fiscal_year,fiscal_year_start,triage_level,ctas_urgency_score,visit_disposition,main_problem,admission_status,ed_visits,median_los_minutes,median_los_hours,admission_flag,is_suppressed
2010-2011,2010,CTAS I - Resuscitation,1,Unknown,Influenzal Pneumonia,Not Admitted,0,0.0,0.0,0,1
2010-2011,2010,CTAS I - Resuscitation,1,Unknown,Motor Vehicle Collisions,Not Admitted,0,0.0,0.0,0,1
2010-2011,2010,CTAS I - Resuscitation,1,Unknown,Pneumonia,Not Admitted,0,0.0,0.0,0,1
2010-2011,2010,CTAS I - Resuscitation,1,Unknown,Trauma,Not Admitted,0,0.0,0.0,0,1
2010-2011,2010,CTAS I - Resuscitation,1,Unknown,Unintentional Falls,Not Admitted,0,0.0,0.0,0,1
2010-2011,2010,CTAS II - Emergent,2,Admitted,Acute Myocardial Infarction,Admitted,9441,494.0,8.2333,1,0
2010-2011,2010,CTAS II - Emergent,2,Admitted,Asthma,Admitted,3274,495.0,8.25,1,0
2010-2011,2010,CTAS II - Emergent,2,Admitted,Influenzal Pneumonia,Admitted,31,820.0,13.6667,1,0
2010-2011,2010,CTAS II - Emergent,2,Admitted,Motor Vehicle Collisions,Admitted,4300,417.0,6.95,1,0
2010-2011,2010,CTAS II - Emergent,2,Admitted,Pneumonia,Admitted,13901,794.0,13.2333,1,0
2010-2011,2010,CTAS II - Emergent,2,Admitted,Trauma,Admitted,20534,464.0,7.7333,1,0
2010-2011,2010,CTAS II - Emergent,2,Admitted,Unintentional Falls,Admitted,10559,525.0,8.75,1,0
2010-2011,2010,CTAS II - Emergent,2,Death,Acute Myocardial Infarction,Not Admitted,109,150.0,2.5,0,0
2010-2011,2010,CTAS II - Emergent,2,Death,Asthma,Not Admitted,0,0.0,0.0,0,1
2010-2011,2010,CTAS II - Emergent,2,Death,Influenzal Pneumonia,Not Admitted,0,0.0,0.0,0,1
2010-2011,2010,CTAS II - Emergent,2,Death,Motor Vehicle Collisions,Not Admitted,8,150.0,2.5,0,0
2010-2011,2010,CTAS II - Emergent,2,Death,Pneumonia,Not Admitted,63,215.0,3.5833,0,0
2010-2011,2010,CTAS II - Emergent,2,Death,Trauma,Not Admitted,42,196.0,3.2667,0,0
2010-2011,2010,CTAS II - Emergent,2,Death,Unintentional Falls,Not Admitted,24,298.0,4.9667,0,0
2010-2011,2010,CTAS II - Emergent,2,Discharged Home,Acute Myocardial Infarction,Not Admitted,400,406.0,6.7667,0,0
2010-2011,2010,CTAS II - Emergent,2,Discharged Home,Asthma,Not Admitted,13473,193.0,3.2167,0,0
2010-2011,2010,CTAS II - Emergent,2,Discharged Home,Influenzal Pneumonia,Not Admitted,44,208.0,3.4667,0,0
2010-2011,2010,CTAS II - Emergent,2,Discharged Home,Motor Vehicle Collisions,Not Admitted,21278,185.0,3.0833,0,0
2010-2011,2010,CTAS II - Emergent,2,Discharged Home,Pneumonia,Not Admitted,10289,231.0,3.85,0,0
2010-2011,2010,CTAS II - Emergent,2,Discharged Home,Trauma,Not Admitted,109089,171.0,2.85,0,0
2010-2011,2010,CTAS II - Emergent,2,Discharged Home,Unintentional Falls,Not Admitted,31241,199.0,3.3167,0,0
2010-2011,2010,CTAS II - Emergent,2,Intra-Facility Transfer,Acute Myocardial Infarction,Not Admitted,72,53.0,0.8833,0,0
2010-2011,2010,CTAS II - Emergent,2,Intra-Facility Transfer,Asthma,Not Admitted,55,143.0,2.3833,0,0
2010-2011,2010,CTAS II - Emergent,2,Intra-Facility Transfer,Influenzal Pneumonia,Not Admitted,0,0.0,0.0,0,1
2010-2011,2010,CTAS II - Emergent,2,Intra-Facility Transfer,Motor Vehicle Collisions,Not Admitted,49,174.0,2.9,0,0
2010-2011,2010,CTAS II - Emergent,2,Intra-Facility Transfer,Pneumonia,Not Admitted,42,262.0,4.3667,0,0
2010-2011,2010,CTAS II - Emergent,2,Intra-Facility Transfer,Trauma,Not Admitted,708,208.0,3.4667,0,0
2010-2011,2010,CTAS II - Emergent,2,Intra-Facility Transfer,Unintentional Falls,Not Admitted,128,230.0,3.8333,0,0
2010-2011,2010,CTAS II - Emergent,2,Not Seen Or Left,Acute Myocardial Infarction,Not Admitted,36,443.0,7.3833,0,0
2010-2011,2010,CTAS II - Emergent,2,Not Seen Or Left,Asthma,Not Admitted,182,172.0,2.8667,0,0
2010-2011,2010,CTAS II - Emergent,2,Not Seen Or Left,Influenzal Pneumonia,Not Admitted,0,0.0,0.0,0,1
2010-2011,2010,CTAS II - Emergent,2,Not Seen Or Left,Motor Vehicle Collisions,Not Admitted,311,157.0,2.6167,0,0
2010-2011,2010,CTAS II - Emergent,2,Not Seen Or Left,Pneumonia,Not Admitted,64,293.0,4.8833,0,0
2010-2011,2010,CTAS II - Emergent,2,Not Seen Or Left,Trauma,Not Admitted,2193,138.0,2.3,0,0
2010-2011,2010,CTAS II - Emergent,2,Not Seen Or Left,Unintentional Falls,Not Admitted,526,154.0,2.5667,0,0
2010-2011,2010,CTAS II - Emergent,2,Transferred,Acute Myocardial Infarction,Not Admitted,3063,116.0,1.9333,0,0
2010-2011,2010,CTAS II - Emergent,2,Transferred,Asthma,Not Admitted,345,286.0,4.7667,0,0
2010-2011,2010,CTAS II - Emergent,2,Transferred,Influenzal Pneumonia,Not Admitted,0,688.0,11.4667,0,1
2010-2011,2010,CTAS II - Emergent,2,Transferred,Motor Vehicle Collisions,Not Admitted,1635,198.0,3.3,0,0
2010-2011,2010,CTAS II - Emergent,2,Transferred,Pneumonia,Not Admitted,850,256.0,4.2667,0,0
2010-2011,2010,CTAS II - Emergent,2,Transferred,Trauma,Not Admitted,5706,191.0,3.1833,0,0
2010-2011,2010,CTAS II - Emergent,2,Transferred,Unintentional Falls,Not Admitted,2012,223.0,3.7167,0,0
2010-2011,2010,CTAS II - Emergent,2,Unknown,Acute Myocardial Infarction,Not Admitted,0,0.0,0.0,0,1
2010-2011,2010,CTAS II - Emergent,2,Unknown,Asthma,Not Admitted,0,0.0,0.0,0,1
2010-2011,2010,CTAS II - Emergent,2,Unknown,Influenzal Pneumonia,Not Admitted,0,0.0,0.0,0,1
2010-2011,2010,CTAS II - Emergent,2,Unknown,Motor Vehicle Collisions,Not Admitted,0,0.0,0.0,0,1
2010-2011,2010,CTAS II - Emergent,2,Unknown,Pneumonia,Not Admitted,0,0.0,0.0,0,1
2010-2011,2010,CTAS II - Emergent,2,Unknown,Trauma,Not Admitted,0,0.0,0.0,0,1
2010-2011,2010,CTAS II - Emergent,2,Unknown,Unintentional Falls,Not Admitted,0,0.0,0.0,0,1
2010-2011,2010,CTAS III - Urgent,3,Admitted,Acute Myocardial Infarction,Admitted,4018,591.0,9.85,1,0
2010-2011,2010,Less urgent,3,Admitted,Acute Myocardial Infarction,Admitted,391,430.0,7.1667,1,0
2010-2011,2010,Non-urgent,3,Admitted,Acute Myocardial Infarction,Admitted,22,352.0,5.8667,1,0
2010-2011,2010,Unknown,3,Admitted,Acute Myocardial Infarction,Admitted,74,216.0,3.6,1,0
2010-2011,2010,CTAS III - Urgent,3,Admitted,Asthma,Admitted,1774,530.0,8.8333,1,0
2010-2011,2010,Less urgent,3,Admitted,Asthma,Admitted,176,238.0,3.9667,1,0
2010-2011,2010,Non-urgent,3,Admitted,Asthma,Admitted,18,98.0,1.6333,1,0
2010-2011,2010,Unknown,3,Admitted,Asthma,Admitted,41,130.0,2.1667,1,0
2010-2011,2010,CTAS III - Urgent,3,Admitted,Influenzal Pneumonia,Admitted,37,932.0,15.5333,1,0
2010-2011,2010,Less urgent,3,Admitted,Influenzal Pneumonia,Admitted,7,183.0,3.05,1,0
2010-2011,2010,Non-urgent,3,Admitted,Influenzal Pneumonia,Admitted,0,0.0,0.0,1,1
2010-2011,2010,Unknown,3,Admitted,Influenzal Pneumonia,Admitted,0,0.0,0.0,1,1
2010-2011,2010,CTAS III - Urgent,3,Admitted,Motor Vehicle Collisions,Admitted,2826,373.0,6.2167,1,0
2010-2011,2010,Less urgent,3,Admitted,Motor Vehicle Collisions,Admitted,536,342.0,5.7,1,0
2010-2011,2010,Non-urgent,3,Admitted,Motor Vehicle Collisions,Admitted,51,189.0,3.15,1,0
2010-2011,2010,Unknown,3,Admitted,Motor Vehicle Collisions,Admitted,87,129.0,2.15,1,0
2010-2011,2010,CTAS III - Urgent,3,Admitted,Pneumonia,Admitted,14310,685.0,11.4167,1,0
2010-2011,2010,Less urgent,3,Admitted,Pneumonia,Admitted,1958,324.0,5.4,1,0
2010-2011,2010,Non-urgent,3,Admitted,Pneumonia,Admitted,179,190.0,3.1667,1,0
2010-2011,2010,Unknown,3,Admitted,Pneumonia,Admitted,279,147.0,2.45,1,0
2010-2011,2010,CTAS III - Urgent,3,Admitted,Trauma,Admitted,35975,480.0,8.0,1,0
2010-2011,2010,Less urgent,3,Admitted,Trauma,Admitted,8310,365.0,6.0833,1,0
2010-2011,2010,Non-urgent,3,Admitted,Trauma,Admitted,560,260.0,4.3333,1,0
2010-2011,2010,Unknown,3,Admitted,Trauma,Admitted,515,155.0,2.5833,1,0
2010-2011,2010,CTAS III - Urgent,3,Admitted,Unintentional Falls,Admitted,25527,512.0,8.5333,1,0
2010-2011,2010,Less urgent,3,Admitted,Unintentional Falls,Admitted,5330,387.0,6.45,1,0
2010-2011,2010,Non-urgent,3,Admitted,Unintentional Falls,Admitted,259,252.0,4.2,1,0
2010-2011,2010,Unknown,3,Admitted,Unintentional Falls,Admitted,277,169.0,2.8167,1,0
2010-2011,2010,CTAS III - Urgent,3,Death,Acute Myocardial Infarction,Not Admitted,34,164.0,2.7333,0,0
2010-2011,2010,Less urgent,3,Death,Acute Myocardial Infarction,Not Admitted,7,97.0,1.6167,0,0
2010-2011,2010,Non-urgent,3,Death,Acute Myocardial Infarction,Not Admitted,8,9.0,0.15,0,0
2010-2011,2010,Unknown,3,Death,Acute Myocardial Infarction,Not Admitted,10,116.0,1.9333,0,0
2010-2011,2010,CTAS III - Urgent,3,Death,Asthma,Not Admitted,0,64.0,1.0667,0,1
2010-2011,2010,Less urgent,3,Death,Asthma,Not Admitted,0,0.0,0.0,0,1
2010-2011,2010,Non-urgent,3,Death,Asthma,Not Admitted,0,0.0,0.0,0,1
2010-2011,2010,Unknown,3,Death,Asthma,Not Admitted,0,0.0,0.0,0,1
2010-2011,2010,CTAS III - Urgent,3,Death,Influenzal Pneumonia,Not Admitted,0,0.0,0.0,0,1
2010-2011,2010,Less urgent,3,Death,Influenzal Pneumonia,Not Admitted,0,0.0,0.0,0,1
2010-2011,2010,Non-urgent,3,Death,Influenzal Pneumonia,Not Admitted,0,0.0,0.0,0,1
2010-2011,2010,Unknown,3,Death,Influenzal Pneumonia,Not Admitted,0,0.0,0.0,0,1
2010-2011,2010,CTAS III - Urgent,3,Death,Motor Vehicle Collisions,Not Admitted,0,114.0,1.9,0,1
2010-2011,2010,Less urgent,3,Death,Motor Vehicle Collisions,Not Admitted,0,105.0,1.75,0,1
2010-2011,2010,Non-urgent,3,Death,Motor Vehicle Collisions,Not Admitted,0,17.0,0.2833,0,1
2010-2011,2010,Unknown,3,Death,Motor Vehicle Collisions,Not Admitted,16,17.0,0.2833,0,0
2010-2011,2010,CTAS III - Urgent,3,Death,Pneumonia,Not Admitted,21,260.0,4.3333,0,0
2010-2011,2010,Less urgent,3,Death,Pneumonia,Not Admitted,0,333.0,5.55,0,1
2010-2011,2010,Non-urgent,3,Death,Pneumonia,Not Admitted,0,25.0,0.4167,0,1
2010-2011,2010,Unknown,3,Death,Pneumonia,Not Admitted,0,0.0,0.0,0,1
2010-2011,2010,CTAS III - Urgent,3,Death,Trauma,Not Admitted,27,252.0,4.2,0,0
2010-2011,2010,Less urgent,3,Death,Trauma,Not Admitted,16,70.0,1.1667,0,0
2010-2011,2010,Non-urgent,3,Death,Trauma,Not Admitted,12,26.0,0.4333,0,0
2010-2011,2010,Unknown,3,Death,Trauma,Not Admitted,25,8.0,0.1333,0,0
2010-2011,2010,CTAS III - Urgent,3,Death,Unintentional Falls,Not Admitted,14,314.0,5.2333,0,0
2010-2011,2010,Less urgent,3,Death,Unintentional Falls,Not Admitted,0,126.0,2.1,0,1
2010-2011,2010,Non-urgent,3,Death,Unintentional Falls,Not Admitted,0,122.0,2.0333,0,1
2010-2011,2010,Unknown,3,Death,Unintentional Falls,Not Admitted,0,0.0,0.0,0,1
2010-2011,2010,CTAS III - Urgent,3,Discharged Home,Acute Myocardial Infarction,Not Admitted,232,347.0,5.7833,0,0
2010-2011,2010,Less urgent,3,Discharged Home,Acute Myocardial Infarction,Not Admitted,45,180.0,3.0,0,0
2010-2011,2010,Non-urgent,3,Discharged Home,Acute Myocardial Infarction,Not Admitted,15,69.0,1.15,0,0
2010-2011,2010,Unknown,3,Discharged Home,Acute Myocardial Infarction,Not Admitted,17,156.0,2.6,0,0
2010-2011,2010,CTAS III - Urgent,3,Discharged Home,Asthma,Not Admitted,31549,156.0,2.6,0,0
2010-2011,2010,Less urgent,3,Discharged Home,Asthma,Not Admitted,17255,100.0,1.6667,0,0
2010-2011,2010,Non-urgent,3,Discharged Home,Asthma,Not Admitted,2701,70.0,1.1667,0,0
2010-2011,2010,Unknown,3,Discharged Home,Asthma,Not Admitted,920,71.0,1.1833,0,0
2010-2011,2010,CTAS III - Urgent,3,Discharged Home,Influenzal Pneumonia,Not Admitted,166,175.0,2.9167,0,0
2010-2011,2010,Less urgent,3,Discharged Home,Influenzal Pneumonia,Not Admitted,129,122.0,2.0333,0,0
2010-2011,2010,Non-urgent,3,Discharged Home,Influenzal Pneumonia,Not Admitted,10,117.0,1.95,0,0
2010-2011,2010,Unknown,3,Discharged Home,Influenzal Pneumonia,Not Admitted,8,72.0,1.2,0,0
2010-2011,2010,CTAS III - Urgent,3,Discharged Home,Motor Vehicle Collisions,Not Admitted,58900,147.0,2.45,0,0
2010-2011,2010,Less urgent,3,Discharged Home,Motor Vehicle Collisions,Not Admitted,55537,117.0,1.95,0,0
2010-2011,2010,Non-urgent,3,Discharged Home,Motor Vehicle Collisions,Not Admitted,4833,88.0,1.4667,0,0
2010-2011,2010,Unknown,3,Discharged Home,Motor Vehicle Collisions,Not Admitted,1551,84.0,1.4,0,0
2010-2011,2010,CTAS III - Urgent,3,Discharged Home,Pneumonia,Not Admitted,36124,190.0,3.1667,0,0
2010-2011,2010,Less urgent,3,Discharged Home,Pneumonia,Not Admitted,22739,126.0,2.1,0,0
2010-2011,2010,Non-urgent,3,Discharged Home,Pneumonia,Not Admitted,2294,86.0,1.4333,0,0
2010-2011,2010,Unknown,3,Discharged Home,Pneumonia,Not Admitted,827,89.0,1.4833,0,0
2010-2011,2010,CTAS III - Urgent,3,Discharged Home,Trauma,Not Admitted,503221,139.0,2.3167,0,0
2010-2011,2010,Less urgent,3,Discharged Home,Trauma,Not Admitted,888244,109.0,1.8167,0,0
2010-2011,2010,Non-urgent,3,Discharged Home,Trauma,Not Admitted,100200,82.0,1.3667,0,0
2010-2011,2010,Unknown,3,Discharged Home,Trauma,Not Admitted,21287,72.0,1.2,0,0
2010-2011,2010,CTAS III - Urgent,3,Discharged Home,Unintentional Falls,Not Admitted,173548,158.0,2.6333,0,0
2010-2011,2010,Less urgent,3,Discharged Home,Unintentional Falls,Not Admitted,244229,120.0,2.0,0,0
2010-2011,2010,Non-urgent,3,Discharged Home,Unintentional Falls,Not Admitted,19744,90.0,1.5,0,0
2010-2011,2010,Unknown,3,Discharged Home,Unintentional Falls,Not Admitted,4135,78.0,1.3,0,0
2010-2011,2010,CTAS III - Urgent,3,Intra-Facility Transfer,Acute Myocardial Infarction,Not Admitted,6,541.0,9.0167,0,0
2010-2011,2010,Less urgent,3,Intra-Facility Transfer,Acute Myocardial Infarction,Not Admitted,0,159.0,2.65,0,1
2010-2011,2010,Non-urgent,3,Intra-Facility Transfer,Acute Myocardial Infarction,Not Admitted,0,0.0,0.0,0,1
2010-2011,2010,Unknown,3,Intra-Facility Transfer,Acute Myocardial Infarction,Not Admitted,0,0.0,0.0,0,1
2010-2011,2010,CTAS III - Urgent,3,Intra-Facility Transfer,Asthma,Not Admitted,36,176.0,2.9333,0,0
2010-2011,2010,Less urgent,3,Intra-Facility Transfer,Asthma,Not Admitted,0,68.0,1.1333,0,1
2010-2011,2010,Non-urgent,3,Intra-Facility Transfer,Asthma,Not Admitted,0,0.0,0.0,0,1
2010-2011,2010,Unknown,3,Intra-Facility Transfer,Asthma,Not Admitted,0,0.0,0.0,0,1
2010-2011,2010,CTAS III - Urgent,3,Intra-Facility Transfer,Influenzal Pneumonia,Not Admitted,0,0.0,0.0,0,1
2010-2011,2010,Less urgent,3,Intra-Facility Transfer,Influenzal Pneumonia,Not Admitted,0,0.0,0.0,0,1
2010-2011,2010,Non-urgent,3,Intra-Facility Transfer,Influenzal Pneumonia,Not Admitted,0,0.0,0.0,0,1
2010-2011,2010,Unknown,3,Intra-Facility Transfer,Influenzal Pneumonia,Not Admitted,0,0.0,0.0,0,1
2010-2011,2010,CTAS III - Urgent,3,Intra-Facility Transfer,Motor Vehicle Collisions,Not Admitted,127,150.0,2.5,0,0
2010-2011,2010,Less urgent,3,Intra-Facility Transfer,Motor Vehicle Collisions,Not Admitted,83,145.0,2.4167,0,0
2010-2011,2010,Non-urgent,3,Intra-Facility Transfer,Motor Vehicle Collisions,Not Admitted,8,69.0,1.15,0,0
2010-2011,2010,Unknown,3,Intra-Facility Transfer,Motor Vehicle Collisions,Not Admitted,0,152.0,2.5333,0,1
2010-2011,2010,CTAS III - Urgent,3,Intra-Facility Transfer,Pneumonia,Not Admitted,46,225.0,3.75,0,0
2010-2011,2010,Less urgent,3,Intra-Facility Transfer,Pneumonia,Not Admitted,10,416.0,6.9333,0,0
2010-2011,2010,Non-urgent,3,Intra-Facility Transfer,Pneumonia,Not Admitted,0,0.0,0.0,0,1
2010-2011,2010,Unknown,3,Intra-Facility Transfer,Pneumonia,Not Admitted,0,406.0,6.7667,0,1
2010-2011,2010,CTAS III - Urgent,3,Intra-Facility Transfer,Trauma,Not Admitted,1794,204.0,3.4,0,0
2010-2011,2010,Less urgent,3,Intra-Facility Transfer,Trauma,Not Admitted,1285,140.0,2.3333,0,0
2010-2011,2010,Non-urgent,3,Intra-Facility Transfer,Trauma,Not Admitted,234,114.0,1.9,0,0
2010-2011,2010,Unknown,3,Intra-Facility Transfer,Trauma,Not Admitted,55,102.0,1.7,0,0
2010-2011,2010,CTAS III - Urgent,3,Intra-Facility Transfer,Unintentional Falls,Not Admitted,520,219.0,3.65,0,0
2010-2011,2010,Less urgent,3,Intra-Facility Transfer,Unintentional Falls,Not Admitted,428,144.0,2.4,0,0
2010-2011,2010,Non-urgent,3,Intra-Facility Transfer,Unintentional Falls,Not Admitted,58,114.0,1.9,0,0
2010-2011,2010,Unknown,3,Intra-Facility Transfer,Unintentional Falls,Not Admitted,14,79.0,1.3167,0,0
2010-2011,2010,CTAS III - Urgent,3,Not Seen Or Left,Acute Myocardial Infarction,Not Admitted,26,293.0,4.8833,0,0
2010-2011,2010,Less urgent,3,Not Seen Or Left,Acute Myocardial Infarction,Not Admitted,0,143.0,2.3833,0,1
2010-2011,2010,Non-urgent,3,Not Seen Or Left,Acute Myocardial Infarction,Not Admitted,0,160.0,2.6667,0,1
2010-2011,2010,Unknown,3,Not Seen Or Left,Acute Myocardial Infarction,Not Admitted,0,0.0,0.0,0,1
2010-2011,2010,CTAS III - Urgent,3,Not Seen Or Left,Asthma,Not Admitted,518,129.0,2.15,0,0
2010-2011,2010,Less urgent,3,Not Seen Or Left,Asthma,Not Admitted,224,109.0,1.8167,0,0
2010-2011,2010,Non-urgent,3,Not Seen Or Left,Asthma,Not Admitted,21,81.0,1.35,0,0
2010-2011,2010,Unknown,3,Not Seen Or Left,Asthma,Not Admitted,10,70.0,1.1667,0,0
2010-2011,2010,CTAS III - Urgent,3,Not Seen Or Left,Influenzal Pneumonia,Not Admitted,0,335.0,5.5833,0,1
2010-2011,2010,Less urgent,3,Not Seen Or Left,Influenzal Pneumonia,Not Admitted,0,129.0,2.15,0,1
2010-2011,2010,Non-urgent,3,Not Seen Or Left,Influenzal Pneumonia,Not Admitted,0,0.0,0.0,0,1
2010-2011,2010,Unknown,3,Not Seen Or Left,Influenzal Pneumonia,Not Admitted,0,205.0,3.4167,0,1
2010-2011,2010,CTAS III - Urgent,3,Not Seen Or Left,Motor Vehicle Collisions,Not Admitted,1644,138.0,2.3,0,0
2010-2011,2010,Less urgent,3,Not Seen Or Left,Motor Vehicle Collisions,Not Admitted,1838,128.0,2.1333,0,0
2010-2011,2010,Non-urgent,3,Not Seen Or Left,Motor Vehicle Collisions,Not Admitted,155,121.0,2.0167,0,0
2010-2011,2010,Unknown,3,Not Seen Or Left,Motor Vehicle Collisions,Not Admitted,29,68.0,1.1333,0,0
2010-2011,2010,CTAS III - Urgent,3,Not Seen Or Left,Pneumonia,Not Admitted,145,245.0,4.0833,0,0
2010-2011,2010,Less urgent,3,Not Seen Or Left,Pneumonia,Not Admitted,55,167.0,2.7833,0,0
2010-2011,2010,Non-urgent,3,Not Seen Or Left,Pneumonia,Not Admitted,9,77.0,1.2833,0,0
2010-2011,2010,Unknown,3,Not Seen Or Left,Pneumonia,Not Admitted,6,54.0,0.9,0,0
2010-2011,2010,CTAS III - Urgent,3,Not Seen Or Left,Trauma,Not Admitted,15842,130.0,2.1667,0,0
2010-2011,2010,Less urgent,3,Not Seen Or Left,Trauma,Not Admitted,30230,117.0,1.95,0,0
2010-2011,2010,Non-urgent,3,Not Seen Or Left,Trauma,Not Admitted,3905,87.0,1.45,0,0
2010-2011,2010,Unknown,3,Not Seen Or Left,Trauma,Not Admitted,916,24.0,0.4,0,0
2010-2011,2010,CTAS III - Urgent,3,Not Seen Or Left,Unintentional Falls,Not Admitted,4156,133.0,2.2167,0,0
2010-2011,2010,Less urgent,3,Not Seen Or Left,Unintentional Falls,Not Admitted,6410,120.0,2.0,0,0
2010-2011,2010,Non-urgent,3,Not Seen Or Left,Unintentional Falls,Not Admitted,580,99.0,1.65,0,0
2010-2011,2010,Unknown,3,Not Seen Or Left,Unintentional Falls,Not Admitted,86,48.0,0.8,0,0
2010-2011,2010,CTAS III - Urgent,3,Transferred,Acute Myocardial Infarction,Not Admitted,864,194.0,3.2333,0,0
2010-2011,2010,Less urgent,3,Transferred,Acute Myocardial Infarction,Not Admitted,83,238.0,3.9667,0,0
2010-2011,2010,Non-urgent,3,Transferred,Acute Myocardial Infarction,Not Admitted,7,296.0,4.9333,0,0
2010-2011,2010,Unknown,3,Transferred,Acute Myocardial Infarction,Not Admitted,60,155.0,2.5833,0,0
2010-2011,2010,CTAS III - Urgent,3,Transferred,Asthma,Not Admitted,184,300.0,5.0,0,0
2010-2011,2010,Less urgent,3,Transferred,Asthma,Not Admitted,19,230.0,3.8333,0,0
2010-2011,2010,Non-urgent,3,Transferred,Asthma,Not Admitted,0,700.0,11.6667,0,1
2010-2011,2010,Unknown,3,Transferred,Asthma,Not Admitted,0,418.0,6.9667,0,1
2010-2011,2010,CTAS III - Urgent,3,Transferred,Influenzal Pneumonia,Not Admitted,0,240.0,4.0,0,1
2010-2011,2010,Less urgent,3,Transferred,Influenzal Pneumonia,Not Admitted,0,0.0,0.0,0,1
2010-2011,2010,Non-urgent,3,Transferred,Influenzal Pneumonia,Not Admitted,0,0.0,0.0,0,1
2010-2011,2010,Unknown,3,Transferred,Influenzal Pneumonia,Not Admitted,0,0.0,0.0,0,1
2010-2011,2010,CTAS III - Urgent,3,Transferred,Motor Vehicle Collisions,Not Admitted,1356,196.0,3.2667,0,0
2010-2011,2010,Less urgent,3,Transferred,Motor Vehicle Collisions,Not Admitted,304,185.0,3.0833,0,0
2010-2011,2010,Non-urgent,3,Transferred,Motor Vehicle Collisions,Not Admitted,19,124.0,2.0667,0,0
2010-2011,2010,Unknown,3,Transferred,Motor Vehicle Collisions,Not Admitted,113,136.0,2.2667,0,0
2010-2011,2010,CTAS III - Urgent,3,Transferred,Pneumonia,Not Admitted,913,274.0,4.5667,0,0
2010-2011,2010,Less urgent,3,Transferred,Pneumonia,Not Admitted,134,264.0,4.4,0,0
2010-2011,2010,Non-urgent,3,Transferred,Pneumonia,Not Admitted,5,90.0,1.5,0,0
2010-2011,2010,Unknown,3,Transferred,Pneumonia,Not Admitted,12,220.0,3.6667,0,0
2010-2011,2010,CTAS III - Urgent,3,Transferred,Trauma,Not Admitted,8794,213.0,3.55,0,0
2010-2011,2010,Less urgent,3,Transferred,Trauma,Not Admitted,3204,190.0,3.1667,0,0
2010-2011,2010,Non-urgent,3,Transferred,Trauma,Not Admitted,266,135.0,2.25,0,0
2010-2011,2010,Unknown,3,Transferred,Trauma,Not Admitted,397,140.0,2.3333,0,0
2010-2011,2010,CTAS III - Urgent,3,Transferred,Unintentional Falls,Not Admitted,4539,251.0,4.1833,0,0
2010-2011,2010,Less urgent,3,Transferred,Unintentional Falls,Not Admitted,1525,224.0,3.7333,0,0
2010-2011,2010,Non-urgent,3,Transferred,Unintentional Falls,Not Admitted,105,166.0,2.7667,0,0
2010-2011,2010,Unknown,3,Transferred,Unintentional Falls,Not Admitted,137,180.0,3.0,0,0
2010-2011,2010,CTAS III - Urgent,3,Unknown,Acute Myocardial Infarction,Not Admitted,0,0.0,0.0,0,1
2010-2011,2010,Less urgent,3,Unknown,Acute Myocardial Infarction,Not Admitted,0,0.0,0.0,0,1
2010-2011,2010,Non-urgent,3,Unknown,Acute Myocardial Infarction,Not Admitted,0,0.0,0.0,0,1
2010-2011,2010,Unknown,3,Unknown,Acute Myocardial Infarction,Not Admitted,0,0.0,0.0,0,1
2010-2011,2010,CTAS III - Urgent,3,Unknown,Asthma,Not Admitted,0,0.0,0.0,0,1
2010-2011,2010,Less urgent,3,Unknown,Asthma,Not Admitted,0,0.0,0.0,0,1
2010-2011,2010,Non-urgent,3,Unknown,Asthma,Not Admitted,0,0.0,0.0,0,1
2010-2011,2010,Unknown,3,Unknown,Asthma,Not Admitted,0,0.0,0.0,0,1
2010-2011,2010,CTAS III - Urgent,3,Unknown,Influenzal Pneumonia,Not Admitted,0,0.0,0.0,0,1
2010-2011,2010,Less urgent,3,Unknown,Influenzal Pneumonia,Not Admitted,0,0.0,0.0,0,1
2010-2011,2010,Non-urgent,3,Unknown,Influenzal Pneumonia,Not Admitted,0,0.0,0.0,0,1
2010-2011,2010,Unknown,3,Unknown,Influenzal Pneumonia,Not Admitted,0,0.0,0.0,0,1
2010-2011,2010,CTAS III - Urgent,3,Unknown,Motor Vehicle Collisions,Not Admitted,0,0.0,0.0,0,1
2010-2011,2010,Less urgent,3,Unknown,Motor Vehicle Collisions,Not Admitted,0,0.0,0.0,0,1
2010-2011,2010,Non-urgent,3,Unknown,Motor Vehicle Collisions,Not Admitted,0,0.0,0.0,0,1
2010-2011,2010,Unknown,3,Unknown,Motor Vehicle Collisions,Not Admitted,0,0.0,0.0,0,1
2010-2011,2010,CTAS III - Urgent,3,Unknown,Pneumonia,Not Admitted,0,0.0,0.0,0,1
2010-2011,2010,Less urgent,3,Unknown,Pneumonia,Not Admitted,0,0.0,0.0,0,1
2010-2011,2010,Non-urgent,3,Unknown,Pneumonia,Not Admitted,0,0.0,0.0,0,1
2010-2011,2010,Unknown,3,Unknown,Pneumonia,Not Admitted,0,0.0,0.0,0,1
2010-2011,2010,CTAS III - Urgent,3,Unknown,Trauma,Not Admitted,0,0.0,0.0,0,1
2010-2011,2010,Less urgent,3,Unknown,Trauma,Not Admitted,0,0.0,0.0,0,1
2010-2011,2010,Non-urgent,3,Unknown,Trauma,Not Admitted,0,0.0,0.0,0,1
2010-2011,2010,Unknown,3,Unknown,Trauma,Not Admitted,0,0.0,0.0,0,1
